Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Profit,Order year,Order Month,Order Weekday,Order_Ship_Days
Europe,Andorra,Household,Online,M,642,668.27,502.54,106398.66,2012,11,mon,17 days
Central America and the Caribbean,Dominican Republic,Household,Offline,H,7584,668.27,502.54,1256896.32,2014,2,sun,49 days
Middle East and North Africa,Israel,Baby Food,Offline,M,1616,255.28,159.42,154909.76,2015,9,fri,17 days
Australia and Oceania,Solomon Islands,Snacks,Offline,L,8369,152.58,97.44,461466.66,2014,3,mon,20 days
Sub-Saharan Africa,Liberia,Fruits,Online,M,5503,9.33,6.92,13262.23,2014,10,tue,22 days
Sub-Saharan Africa,Mali,Vegetables,Online,C,7712,154.06,90.93,486858.56,2012,6,mon,21 days
Asia,Uzbekistan,Clothes,Online,C,1718,109.28,35.84,126169.92,2010,11,wed,32 days
Middle East and North Africa,Tunisia ,Personal Care,Offline,H,1276,81.73,56.67,31976.56,2010,11,sun,6 days
Europe,Vatican City,Vegetables,Online,C,2173,154.06,90.93,137181.49,2014,4,sun,11 days
Sub-Saharan Africa,Djibouti,Snacks,Offline,H,7227,152.58,97.44,398496.78,2012,12,fri,49 days
Europe,Ukraine,Household,Offline,M,1285,668.27,502.54,212963.05,2014,8,sun,35 days
Australia and Oceania,East Timor,Fruits,Offline,M,6227,9.33,6.92,15007.07,2016,11,fri,27 days
Sub-Saharan Africa,Uganda,Cereal,Online,C,5965,205.7,117.11,528439.35,2010,10,tue,43 days
Sub-Saharan Africa,Guinea,Meat,Online,H,1441,421.89,364.69,82425.2,2014,12,wed,39 days
Sub-Saharan Africa,Equatorial Guinea,Clothes,Offline,H,5629,109.28,35.84,413393.76,2011,3,sat,35 days
Europe,Malta,Cosmetics,Online,M,8534,437.2,263.33,1483806.58,2016,7,mon,40 days
Europe,Cyprus,Household,Offline,L,2191,668.27,502.54,363114.43,2011,1,tue,24 days
Europe,Czech Republic,Office Supplies,Online,L,5668,651.21,524.96,715585.0,2010,2,tue,50 days
Middle East and North Africa,Libya,Vegetables,Online,C,64,154.06,90.93,4040.32,2015,1,thur,38 days
Asia,Vietnam,Office Supplies,Offline,C,3509,651.21,524.96,443011.25,2016,7,mon,1 days
Middle East and North Africa,Jordan,Vegetables,Online,C,6163,154.06,90.93,389070.19,2014,6,sat,14 days
Sub-Saharan Africa,Mali,Beverages,Offline,H,5220,47.45,31.79,81745.2,2012,12,thur,39 days
Europe,Czech Republic,Household,Online,L,9902,668.27,502.54,1641058.46,2010,2,fri,3 days
Europe,Slovakia,Vegetables,Online,M,6465,154.06,90.93,408135.45,2016,4,sat,21 days
Sub-Saharan Africa,Zimbabwe,Vegetables,Offline,C,3195,154.06,90.93,201700.35,2012,7,sat,19 days
Central America and the Caribbean,Honduras,Cereal,Online,M,5409,205.7,117.11,479183.31,2015,2,sat,15 days
Europe,Switzerland,Beverages,Offline,L,455,47.45,31.79,7125.3,2011,2,wed,38 days
Sub-Saharan Africa,South Africa,Cosmetics,Offline,L,2715,437.2,263.33,472057.05,2015,1,tue,5 days
Sub-Saharan Africa,Uganda,Beverages,Online,M,8598,47.45,31.79,134644.68,2012,5,wed,49 days
Middle East and North Africa,Iran,Vegetables,Offline,M,1547,154.06,90.93,97662.11,2015,12,tue,36 days
Middle East and North Africa,Algeria,Vegetables,Online,C,7036,154.06,90.93,444182.68,2017,2,fri,0 days
Sub-Saharan Africa,Central African Republic,Baby Food,Online,L,7570,255.28,159.42,725660.2,2012,1,mon,13 days
Central America and the Caribbean,The Bahamas,Cosmetics,Offline,C,7685,437.2,263.33,1336190.95,2013,2,wed,8 days
Sub-Saharan Africa,South Africa,Household,Offline,H,8948,668.27,502.54,1482952.04,2014,9,sat,8 days
Sub-Saharan Africa,Benin,Cereal,Online,M,4957,205.7,117.11,439140.63,2012,6,mon,49 days
Europe,Hungary,Cosmetics,Online,M,6344,437.2,263.33,1103031.28,2014,4,fri,2 days
Europe,Austria,Office Supplies,Offline,C,5768,651.21,524.96,728210.0,2014,2,sat,8 days
Asia,Tajikistan,Office Supplies,Offline,C,2923,651.21,524.96,369028.75,2010,9,tue,41 days
Europe,Portugal,Office Supplies,Online,C,9532,651.21,524.96,1203415.0,2011,5,mon,39 days
Europe,Belgium,Beverages,Offline,M,4349,47.45,31.79,68105.34,2013,4,sat,30 days
Europe,Slovenia,Beverages,Offline,L,8161,47.45,31.79,127801.26,2014,8,sat,4 days
Europe,Czech Republic,Snacks,Online,M,8786,152.58,97.44,484460.04,2010,9,sat,41 days
Australia and Oceania,Marshall Islands,Personal Care,Offline,C,6071,81.73,56.67,152139.26,2013,4,fri,31 days
Sub-Saharan Africa,Sudan,Fruits,Online,C,6897,9.33,6.92,16621.77,2016,1,wed,4 days
Central America and the Caribbean,Dominican Republic,Clothes,Online,H,175,109.28,35.84,12852.0,2013,12,sun,5 days
Sub-Saharan Africa,Tanzania,Cereal,Offline,C,1848,205.7,117.11,163714.32,2014,2,thur,16 days
Europe,Switzerland,Clothes,Offline,H,9888,109.28,35.84,726174.72,2017,6,thur,31 days
North America,Greenland,Household,Online,L,9302,668.27,502.54,1541620.46,2014,4,wed,33 days
Australia and Oceania,Tonga,Fruits,Offline,L,7124,9.33,6.92,17168.84,2011,5,thur,19 days
Middle East and North Africa,Saudi Arabia,Vegetables,Online,M,7422,154.06,90.93,468550.86,2012,8,mon,25 days
Central America and the Caribbean,Belize,Cosmetics,Offline,C,6296,437.2,263.33,1094685.52,2015,7,fri,48 days
Sub-Saharan Africa,Angola,Cosmetics,Online,H,6874,437.2,263.33,1195182.38,2014,10,sun,24 days
Asia,Malaysia,Household,Online,H,4319,668.27,502.54,715787.87,2013,10,thur,3 days
Sub-Saharan Africa,Ethiopia,Beverages,Online,C,822,47.45,31.79,12872.52,2013,2,thur,25 days
North America,Greenland,Baby Food,Offline,C,607,255.28,159.42,58187.02,2014,7,mon,39 days
Sub-Saharan Africa,Benin,Cereal,Offline,C,4928,205.7,117.11,436571.52,2016,12,sun,35 days
Middle East and North Africa,Yemen,Cereal,Offline,H,7073,205.7,117.11,626597.07,2012,11,fri,16 days
Sub-Saharan Africa,Rwanda,Baby Food,Offline,M,7358,255.28,159.42,705337.88,2014,11,sun,24 days
Sub-Saharan Africa,Mauritania,Meat,Offline,M,8132,421.89,364.69,465150.4,2013,8,fri,12 days
Australia and Oceania,New Zealand,Personal Care,Online,L,8775,81.73,56.67,219901.5,2012,5,tue,24 days
Australia and Oceania,Samoa ,Clothes,Offline,M,699,109.28,35.84,51334.56,2015,7,tue,15 days
Australia and Oceania,Fiji,Clothes,Online,H,2344,109.28,35.84,172143.36,2017,2,tue,29 days
Sub-Saharan Africa,Malawi,Beverages,Online,H,4186,47.45,31.79,65552.76,2012,1,fri,25 days
Australia and Oceania,Marshall Islands,Beverages,Offline,M,3729,47.45,31.79,58396.14,2015,8,sun,49 days
Central America and the Caribbean,Grenada,Baby Food,Online,M,508,255.28,159.42,48696.88,2013,6,sat,7 days
Europe,Luxembourg,Meat,Online,C,1093,421.89,364.69,62519.6,2011,8,tue,50 days
Sub-Saharan Africa,Zimbabwe,Meat,Offline,M,4080,421.89,364.69,233376.0,2016,10,sat,37 days
Asia,China,Vegetables,Online,H,5100,154.06,90.93,321963.0,2010,9,sat,16 days
North America,United States of America,Beverages,Online,L,1815,47.45,31.79,28422.9,2013,7,fri,1 days
Sub-Saharan Africa,Central African Republic,Vegetables,Online,L,8916,154.06,90.93,562867.08,2012,10,mon,43 days
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Online,M,3127,154.06,90.93,197407.51,2012,1,mon,2 days
Central America and the Caribbean,Guatemala,Baby Food,Offline,H,8203,255.28,159.42,786339.58,2012,2,tue,35 days
Middle East and North Africa,Qatar,Clothes,Offline,L,9930,109.28,35.84,729259.2,2015,1,fri,4 days
Middle East and North Africa,Israel,Personal Care,Online,L,1126,81.73,56.67,28217.56,2012,5,sat,15 days
Asia,Thailand,Snacks,Offline,L,6639,152.58,97.44,366074.46,2012,1,thur,33 days
Asia,Singapore,Cereal,Online,M,8349,205.7,117.11,739637.91,2011,7,fri,13 days
Asia,North Korea,Snacks,Online,C,167,152.58,97.44,9208.38,2017,3,sun,26 days
Europe,Austria,Office Supplies,Online,L,3036,651.21,524.96,383295.0,2017,3,wed,26 days
Asia,Japan,Baby Food,Offline,L,9929,255.28,159.42,951793.94,2016,3,tue,34 days
Sub-Saharan Africa,Zimbabwe,Beverages,Offline,L,851,47.45,31.79,13326.66,2015,12,thur,8 days
Europe,Lithuania,Fruits,Offline,H,7838,9.33,6.92,18889.58,2011,10,mon,22 days
Europe,Luxembourg,Baby Food,Offline,H,9958,255.28,159.42,954573.88,2011,6,wed,33 days
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,H,8309,437.2,263.33,1444685.83,2016,3,sat,14 days
Europe,Norway,Household,Offline,M,1021,668.27,502.54,169210.33,2016,12,thur,29 days
Sub-Saharan Africa,Democratic Republic of the Congo,Fruits,Offline,M,8256,9.33,6.92,19896.96,2013,4,wed,0 days
Australia and Oceania,New Zealand,Household,Offline,L,7205,668.27,502.54,1194084.65,2017,3,tue,43 days
Europe,Ukraine,Personal Care,Offline,M,7092,81.73,56.67,177725.52,2011,6,thur,31 days
Asia,Taiwan,Personal Care,Offline,H,4173,81.73,56.67,104575.38,2013,11,fri,31 days
Europe,Italy,Cereal,Offline,C,6733,205.7,117.11,596476.47,2013,5,fri,20 days
Europe,Finland,Personal Care,Online,L,89,81.73,56.67,2230.34,2010,11,fri,14 days
Sub-Saharan Africa,Sudan,Office Supplies,Online,H,1591,651.21,524.96,200863.75,2016,3,tue,43 days
Europe,Croatia,Snacks,Offline,M,5618,152.58,97.44,309776.52,2013,8,sun,24 days
Sub-Saharan Africa,Mauritania,Beverages,Online,L,8581,47.45,31.79,134378.46,2011,4,mon,39 days
Australia and Oceania,New Zealand,Baby Food,Offline,L,3923,255.28,159.42,376058.78,2014,7,sat,5 days
Middle East and North Africa,Pakistan,Beverages,Online,L,7117,47.45,31.79,111452.22,2014,9,sun,7 days
Europe,Poland,Household,Online,C,668,668.27,502.54,110707.64,2015,6,wed,15 days
Europe,Lithuania,Cereal,Offline,M,9113,205.7,117.11,807320.67,2013,12,wed,13 days
Middle East and North Africa,Pakistan,Cereal,Offline,M,4019,205.7,117.11,356043.21,2012,5,thur,23 days
Australia and Oceania,East Timor,Cosmetics,Offline,C,8984,437.2,263.33,1562048.08,2013,10,fri,32 days
Australia and Oceania,Marshall Islands,Fruits,Online,L,4638,9.33,6.92,11177.58,2011,1,sat,12 days
Central America and the Caribbean,Cuba,Household,Offline,L,3642,668.27,502.54,603588.66,2013,2,fri,1 days
North America,Greenland,Baby Food,Offline,H,5689,255.28,159.42,545347.54,2011,3,fri,26 days
Europe,Luxembourg,Personal Care,Offline,C,2503,81.73,56.67,62725.18,2012,10,tue,24 days
Middle East and North Africa,Israel,Beverages,Online,C,2838,47.45,31.79,44443.08,2014,10,wed,23 days
Sub-Saharan Africa,Djibouti,Baby Food,Online,H,7480,255.28,159.42,717032.8,2015,7,sat,12 days
Europe,Bulgaria,Cereal,Online,L,4247,205.7,117.11,376241.73,2010,5,wed,21 days
Asia,Mongolia,Vegetables,Online,C,2988,154.06,90.93,188632.44,2010,11,fri,43 days
Central America and the Caribbean,Dominican Republic,Clothes,Offline,L,582,109.28,35.84,42742.08,2010,12,sat,5 days
Middle East and North Africa,Yemen,Cosmetics,Online,L,5940,437.2,263.33,1032787.8,2012,12,sat,2 days
Australia and Oceania,Federated States of Micronesia,Personal Care,Online,M,5005,81.73,56.67,125425.3,2016,8,sat,17 days
Europe,Finland,Personal Care,Online,M,5751,81.73,56.67,144120.06,2015,2,mon,45 days
Central America and the Caribbean,The Bahamas,Cereal,Offline,L,3181,205.7,117.11,281804.79,2013,12,wed,16 days
Central America and the Caribbean,Grenada,Meat,Online,L,4334,421.89,364.69,247904.8,2012,5,fri,31 days
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,M,3275,421.89,364.69,187330.0,2014,3,thur,22 days
Central America and the Caribbean,El Salvador,Personal Care,Offline,C,6103,81.73,56.67,152941.18,2017,1,tue,38 days
Europe,Sweden,Baby Food,Online,M,5949,255.28,159.42,570271.14,2015,6,sat,15 days
Asia,Turkmenistan,Cosmetics,Offline,H,7974,437.2,263.33,1386439.38,2012,11,wed,4 days
Europe,Monaco,Vegetables,Online,H,4369,154.06,90.93,275814.97,2010,1,thur,43 days
Middle East and North Africa,Turkey,Meat,Online,H,9359,421.89,364.69,535334.8,2016,1,tue,31 days
Sub-Saharan Africa,Mozambique,Beverages,Online,M,4199,47.45,31.79,65756.34,2014,10,mon,9 days
Middle East and North Africa,Yemen,Office Supplies,Offline,C,2173,651.21,524.96,274341.25,2013,12,sun,31 days
Asia,Philippines,Cereal,Offline,M,3601,205.7,117.11,319012.59,2010,10,mon,37 days
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,Offline,M,830,81.73,56.67,20799.8,2011,5,sun,31 days
Australia and Oceania,Fiji,Snacks,Online,H,3241,152.58,97.44,178708.74,2011,3,wed,6 days
Europe,Macedonia,Office Supplies,Offline,H,2244,651.21,524.96,283305.0,2014,9,tue,19 days
Middle East and North Africa,Tunisia ,Cereal,Online,H,6283,205.7,117.11,556610.97,2015,12,mon,13 days
Europe,Liechtenstein,Cereal,Offline,L,5829,205.7,117.11,516391.11,2017,6,thur,46 days
Middle East and North Africa,Qatar,Cosmetics,Online,M,8390,437.2,263.33,1458769.3,2011,8,wed,14 days
Australia and Oceania,Tonga,Meat,Offline,C,3499,421.89,364.69,200142.8,2014,7,mon,26 days
Europe,Belgium,Meat,Online,L,7726,421.89,364.69,441927.2,2017,1,wed,29 days
Sub-Saharan Africa,Chad,Fruits,Offline,C,9669,9.33,6.92,23302.29,2010,11,thur,34 days
Asia,Thailand,Baby Food,Online,H,4957,255.28,159.42,475178.02,2015,3,wed,40 days
Europe,Iceland,Clothes,Offline,H,1251,109.28,35.84,91873.44,2012,10,sat,9 days
Central America and the Caribbean,Saint Lucia,Meat,Offline,L,3245,421.89,364.69,185614.0,2013,7,sun,42 days
Asia,Japan,Cosmetics,Offline,C,7661,437.2,263.33,1332018.07,2013,8,thur,2 days
Asia,India,Personal Care,Offline,L,8254,81.73,56.67,206845.24,2013,11,mon,42 days
Australia and Oceania,Vanuatu,Office Supplies,Online,L,812,651.21,524.96,102515.0,2016,3,mon,27 days
Sub-Saharan Africa,Chad,Meat,Offline,M,8150,421.89,364.69,466180.0,2012,3,sat,10 days
Sub-Saharan Africa,Malawi,Cosmetics,Offline,H,5118,437.2,263.33,889866.66,2017,6,mon,9 days
Europe,Finland,Cosmetics,Online,L,3596,437.2,263.33,625236.52,2014,4,thur,28 days
Middle East and North Africa,Turkey,Clothes,Online,C,7494,109.28,35.84,550359.36,2016,6,mon,37 days
Sub-Saharan Africa,South Africa,Meat,Online,L,7755,421.89,364.69,443586.0,2012,5,sat,42 days
Europe,Lithuania,Office Supplies,Offline,M,7353,651.21,524.96,928316.25,2014,2,mon,12 days
Europe,Russia,Beverages,Offline,L,6293,47.45,31.79,98548.38,2015,11,sat,6 days
Central America and the Caribbean,The Bahamas,Baby Food,Online,C,6610,255.28,159.42,633634.6,2013,1,thur,48 days
Central America and the Caribbean,The Bahamas,Snacks,Online,L,7373,152.58,97.44,406547.22,2013,4,tue,44 days
Middle East and North Africa,Turkey,Cosmetics,Offline,C,9679,437.2,263.33,1682887.73,2010,5,fri,19 days
Sub-Saharan Africa,Mauritius ,Cosmetics,Offline,H,1659,437.2,263.33,288450.33,2010,4,fri,35 days
Europe,Bulgaria,Vegetables,Online,H,3473,154.06,90.93,219250.49,2012,8,fri,15 days
Middle East and North Africa,Iran,Household,Offline,L,2315,668.27,502.54,383664.95,2014,4,fri,24 days
Sub-Saharan Africa,Ghana,Household,Online,M,7408,668.27,502.54,1227727.84,2013,2,mon,38 days
Sub-Saharan Africa,Malawi,Baby Food,Online,M,5006,255.28,159.42,479875.16,2011,12,tue,20 days
Sub-Saharan Africa,Zimbabwe,Baby Food,Offline,M,3395,255.28,159.42,325444.7,2014,8,wed,50 days
Asia,Tajikistan,Vegetables,Online,H,7894,154.06,90.93,498348.22,2014,8,wed,42 days
Europe,Czech Republic,Cereal,Online,H,5851,205.7,117.11,518340.09,2014,3,sat,26 days
Sub-Saharan Africa,Mauritius ,Household,Online,L,1646,668.27,502.54,272791.58,2012,9,wed,21 days
Sub-Saharan Africa,Lesotho,Fruits,Online,H,1689,9.33,6.92,4070.49,2010,9,wed,6 days
Sub-Saharan Africa,Mali,Beverages,Online,L,9424,47.45,31.79,147579.84,2013,8,mon,2 days
Europe,Georgia,Personal Care,Online,C,323,81.73,56.67,8094.38,2012,9,mon,42 days
Europe,Albania,Office Supplies,Offline,M,6892,651.21,524.96,870115.0,2011,8,tue,45 days
Europe,Cyprus,Cosmetics,Offline,L,3667,437.2,263.33,637581.29,2015,4,mon,46 days
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,C,2215,668.27,502.54,367091.95,2010,7,sat,16 days
Middle East and North Africa,Tunisia ,Meat,Offline,C,6135,421.89,364.69,350922.0,2015,8,sat,43 days
Central America and the Caribbean,Cuba,Meat,Online,M,6057,421.89,364.69,346460.4,2015,10,fri,50 days
Australia and Oceania,Kiribati,Cereal,Offline,L,4641,205.7,117.11,411146.19,2012,7,mon,23 days
Asia,Cambodia,Snacks,Online,C,1581,152.58,97.44,87176.34,2012,3,sat,40 days
Europe,Moldova ,Baby Food,Online,M,8600,255.28,159.42,824396.0,2014,8,sun,38 days
Asia,Uzbekistan,Cereal,Offline,C,4452,205.7,117.11,394402.68,2016,10,fri,44 days
Asia,India,Cosmetics,Offline,L,9924,437.2,263.33,1725485.88,2016,12,fri,49 days
Europe,Germany,Personal Care,Offline,C,2834,81.73,56.67,71020.04,2010,6,fri,31 days
Europe,Austria,Vegetables,Online,C,3030,154.06,90.93,191283.9,2016,7,thur,33 days
Europe,Germany,Office Supplies,Offline,L,7391,651.21,524.96,933113.75,2013,12,sun,34 days
Asia,Bhutan,Clothes,Online,M,4829,109.28,35.84,354641.76,2012,7,wed,28 days
Asia,Kyrgyzstan,Fruits,Online,C,1287,9.33,6.92,3101.67,2012,1,fri,48 days
Middle East and North Africa,Somalia,Personal Care,Online,C,4738,81.73,56.67,118734.28,2013,3,tue,36 days
Central America and the Caribbean,Saint Lucia,Household,Online,H,186,668.27,502.54,30825.78,2014,2,sun,28 days
Europe,Armenia,Snacks,Offline,H,4668,152.58,97.44,257393.52,2013,10,fri,20 days
North America,Canada,Beverages,Online,C,2252,47.45,31.79,35266.32,2016,4,fri,47 days
Sub-Saharan Africa,Burundi,Cosmetics,Offline,H,9036,437.2,263.33,1571089.32,2011,5,thur,6 days
Europe,Liechtenstein,Cereal,Online,L,8149,205.7,117.11,721919.91,2016,8,wed,36 days
Middle East and North Africa,Tunisia ,Snacks,Offline,L,4754,152.58,97.44,262135.56,2012,7,mon,33 days
Middle East and North Africa,Iraq,Beverages,Online,L,1042,47.45,31.79,16317.72,2014,12,wed,38 days
Asia,Indonesia,Cosmetics,Offline,C,1237,437.2,263.33,215077.19,2010,5,sun,1 days
Asia,Kazakhstan,Beverages,Online,H,6594,47.45,31.79,103262.04,2013,2,mon,12 days
Europe,Denmark,Beverages,Offline,C,399,47.45,31.79,6248.34,2015,6,sun,24 days
Europe,Luxembourg,Vegetables,Offline,L,2969,154.06,90.93,187432.97,2014,10,mon,28 days
Sub-Saharan Africa,Cape Verde,Snacks,Offline,C,6653,152.58,97.44,366846.42,2017,2,sun,28 days
Australia and Oceania,Palau,Vegetables,Offline,C,832,154.06,90.93,52524.16,2010,6,mon,17 days
Australia and Oceania,Australia,Vegetables,Online,M,6915,154.06,90.93,436543.95,2014,5,sun,1 days
Central America and the Caribbean,Nicaragua,Meat,Offline,L,3346,421.89,364.69,191391.2,2015,3,fri,25 days
Asia,Laos,Office Supplies,Offline,M,598,651.21,524.96,75497.5,2015,8,sun,45 days
Central America and the Caribbean,Cuba,Personal Care,Online,L,6176,81.73,56.67,154770.56,2015,8,sat,7 days
Europe,Moldova ,Cosmetics,Offline,L,9615,437.2,263.33,1671760.05,2016,2,tue,22 days
Middle East and North Africa,Syria,Household,Online,C,7485,668.27,502.54,1240489.05,2015,6,tue,36 days
Central America and the Caribbean,The Bahamas,Cereal,Offline,M,8382,205.7,117.11,742561.38,2012,11,mon,9 days
Europe,Belarus,Snacks,Offline,M,7938,152.58,97.44,437701.32,2012,9,thur,42 days
Middle East and North Africa,United Arab Emirates,Clothes,Offline,C,3812,109.28,35.84,279953.28,2012,6,fri,45 days
Sub-Saharan Africa,Angola,Beverages,Offline,H,698,47.45,31.79,10930.68,2014,10,wed,19 days
Central America and the Caribbean,Cuba,Cosmetics,Offline,C,5320,437.2,263.33,924988.4,2015,9,thur,30 days
Europe,Ukraine,Office Supplies,Online,H,1431,651.21,524.96,180663.75,2016,1,sat,27 days
Sub-Saharan Africa,Mozambique,Fruits,Offline,H,4818,9.33,6.92,11611.38,2010,3,mon,27 days
Europe,Armenia,Personal Care,Online,M,8299,81.73,56.67,207972.94,2012,7,wed,33 days
North America,Greenland,Clothes,Online,H,6722,109.28,35.84,493663.68,2015,10,mon,13 days
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Online,M,1968,651.21,524.96,248460.0,2017,6,mon,21 days
Europe,Vatican City,Beverages,Offline,M,7946,47.45,31.79,124434.36,2016,4,sun,26 days
Europe,Ukraine,Clothes,Online,C,5600,109.28,35.84,411264.0,2015,8,tue,35 days
Sub-Saharan Africa,Niger,Cereal,Offline,L,7903,205.7,117.11,700126.77,2012,6,fri,18 days
Asia,Myanmar,Cosmetics,Online,L,4860,437.2,263.33,845008.2,2016,4,sat,32 days
Sub-Saharan Africa,Guinea,Baby Food,Offline,C,8508,255.28,159.42,815576.88,2014,9,sat,0 days
Sub-Saharan Africa,Guinea-Bissau,Snacks,Online,L,7913,152.58,97.44,436322.82,2015,8,fri,33 days
Sub-Saharan Africa,South Sudan,Office Supplies,Online,C,4174,651.21,524.96,526967.5,2012,7,wed,1 days
Middle East and North Africa,Turkey,Snacks,Offline,H,5421,152.58,97.44,298913.94,2011,8,thur,18 days
Australia and Oceania,Palau,Household,Online,M,1816,668.27,502.54,300965.68,2012,6,fri,8 days
Europe,Poland,Beverages,Offline,L,550,47.45,31.79,8613.0,2011,11,sat,34 days
Asia,Malaysia,Beverages,Offline,L,848,47.45,31.79,13279.68,2015,5,tue,22 days
North America,United States of America,Personal Care,Offline,C,8963,81.73,56.67,224612.78,2010,7,thur,37 days
Europe,Switzerland,Cosmetics,Online,C,3183,437.2,263.33,553428.21,2016,5,fri,6 days
Australia and Oceania,Papua New Guinea,Cosmetics,Offline,H,8825,437.2,263.33,1534402.75,2011,4,thur,47 days
Sub-Saharan Africa,Namibia,Beverages,Offline,H,3237,47.45,31.79,50691.42,2012,8,mon,37 days
Europe,Ireland,Clothes,Online,C,799,109.28,35.84,58678.56,2012,3,fri,46 days
Sub-Saharan Africa,Mozambique,Household,Online,C,7922,668.27,502.54,1312913.06,2010,8,thur,3 days
Sub-Saharan Africa,Democratic Republic of the Congo,Baby Food,Offline,L,8049,255.28,159.42,771577.14,2013,2,sun,29 days
North America,United States of America,Meat,Online,M,6654,421.89,364.69,380608.8,2011,3,sat,4 days
Middle East and North Africa,Azerbaijan,Office Supplies,Offline,M,6240,651.21,524.96,787800.0,2015,12,sun,2 days
Europe,Belgium,Office Supplies,Offline,C,1345,651.21,524.96,169806.25,2017,2,thur,6 days
Asia,Taiwan,Office Supplies,Offline,L,3536,651.21,524.96,446420.0,2016,9,mon,38 days
Central America and the Caribbean,Panama,Baby Food,Online,M,6411,255.28,159.42,614558.46,2010,4,thur,33 days
Europe,Andorra,Beverages,Offline,H,600,47.45,31.79,9396.0,2013,6,mon,15 days
Europe,Georgia,Household,Offline,H,8765,668.27,502.54,1452623.45,2012,7,tue,23 days
Central America and the Caribbean,Barbados,Snacks,Online,C,597,152.58,97.44,32918.58,2013,9,fri,31 days
Europe,Sweden,Personal Care,Offline,C,7821,81.73,56.67,195994.26,2016,12,wed,29 days
Middle East and North Africa,Algeria,Meat,Offline,M,9191,421.89,364.69,525725.2,2011,9,thur,43 days
Europe,Italy,Personal Care,Online,L,5494,81.73,56.67,137679.64,2011,3,sun,12 days
Europe,Russia,Fruits,Offline,L,4546,9.33,6.92,10955.86,2011,1,fri,18 days
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Offline,M,6197,651.21,524.96,782371.25,2015,2,sat,0 days
Middle East and North Africa,Jordan,Fruits,Online,C,7325,9.33,6.92,17653.25,2017,5,sun,41 days
Sub-Saharan Africa,Mali,Meat,Online,L,6844,421.89,364.69,391476.8,2012,7,fri,32 days
Middle East and North Africa,Somalia,Cereal,Offline,C,694,205.7,117.11,61481.46,2015,6,wed,5 days
Middle East and North Africa,Kuwait,Snacks,Online,L,6850,152.58,97.44,377709.0,2011,10,tue,6 days
Sub-Saharan Africa,Liberia,Office Supplies,Offline,C,316,651.21,524.96,39895.0,2014,9,tue,18 days
Asia,China,Office Supplies,Online,C,8128,651.21,524.96,1026160.0,2015,9,tue,38 days
Europe,Andorra,Meat,Offline,M,4355,421.89,364.69,249106.0,2011,3,wed,0 days
Sub-Saharan Africa,Niger,Beverages,Online,C,5093,47.45,31.79,79756.38,2013,10,thur,3 days
Europe,Hungary,Vegetables,Offline,M,3475,154.06,90.93,219376.75,2010,8,wed,33 days
Europe,Monaco,Clothes,Offline,M,4659,109.28,35.84,342156.96,2012,7,wed,40 days
Australia and Oceania,Tuvalu,Household,Online,L,840,668.27,502.54,139213.2,2012,9,sat,12 days
Sub-Saharan Africa,South Sudan,Baby Food,Online,C,6240,255.28,159.42,598166.4,2012,11,thur,50 days
Europe,Cyprus,Cereal,Offline,M,2114,205.7,117.11,187279.26,2011,11,fri,44 days
Europe,Poland,Household,Offline,M,1749,668.27,502.54,289861.77,2017,6,thur,46 days
Sub-Saharan Africa,Liberia,Snacks,Online,H,5462,152.58,97.44,301174.68,2011,9,fri,48 days
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Online,C,5602,154.06,90.93,353654.26,2015,10,thur,3 days
Asia,Kyrgyzstan,Beverages,Online,C,1547,47.45,31.79,24226.02,2010,4,fri,6 days
Europe,Slovakia,Vegetables,Offline,L,4711,154.06,90.93,297405.43,2014,7,wed,11 days
Asia,Malaysia,Cosmetics,Offline,M,3534,437.2,263.33,614456.58,2014,12,mon,14 days
Sub-Saharan Africa,Liberia,Beverages,Online,L,8491,47.45,31.79,132969.06,2014,5,sun,22 days
Australia and Oceania,Vanuatu,Cosmetics,Online,H,7086,437.2,263.33,1232042.82,2012,8,fri,30 days
Australia and Oceania,Kiribati,Baby Food,Offline,L,8856,255.28,159.42,848936.16,2010,8,sat,47 days
Middle East and North Africa,Turkey,Baby Food,Online,M,368,255.28,159.42,35276.48,2014,4,fri,21 days
Europe,San Marino,Fruits,Offline,M,221,9.33,6.92,532.61,2015,6,tue,13 days
Europe,Vatican City,Snacks,Offline,C,4044,152.58,97.44,222986.16,2010,8,wed,21 days
Middle East and North Africa,Morocco,Beverages,Offline,C,9499,47.45,31.79,148754.34,2012,8,mon,8 days
Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,L,1277,421.89,364.69,73044.4,2016,7,thur,25 days
Middle East and North Africa,Jordan,Vegetables,Online,M,6104,154.06,90.93,385345.52,2010,9,mon,35 days
Asia,Kyrgyzstan,Vegetables,Online,H,7733,154.06,90.93,488184.29,2011,3,sun,40 days
